GEO_ID,NAME,S2301_C01_001E
42001,"Adams County, Pennsylvania",85357
42003,"Allegheny County, Pennsylvania",1037970
42005,"Armstrong County, Pennsylvania",54898
42007,"Beaver County, Pennsylvania",139400
42009,"Bedford County, Pennsylvania",39643
42011,"Berks County, Pennsylvania",342555
42013,"Blair County, Pennsylvania",101027
42015,"Bradford County, Pennsylvania",48593
42017,"Bucks County, Pennsylvania",529467
42019,"Butler County, Pennsylvania",158697
42021,"Cambria County, Pennsylvania",111277
42023,"Cameron County, Pennsylvania",3909
42025,"Carbon County, Pennsylvania",53860
42027,"Centre County, Pennsylvania",137688
42029,"Chester County, Pennsylvania",425977
42031,"Clarion County, Pennsylvania",31270
42033,"Clearfield County, Pennsylvania",67634
42035,"Clinton County, Pennsylvania",31071
42037,"Columbia County, Pennsylvania",54830
42039,"Crawford County, Pennsylvania",68975
42041,"Cumberland County, Pennsylvania",210420
42043,"Dauphin County, Pennsylvania",227225
42045,"Delaware County, Pennsylvania",460750
42047,"Elk County, Pennsylvania",25745
42049,"Erie County, Pennsylvania",220378
42051,"Fayette County, Pennsylvania",107462
42053,"Forest County, Pennsylvania",6708
42055,"Franklin County, Pennsylvania",124875
42057,"Fulton County, Pennsylvania",11953
42059,"Greene County, Pennsylvania",30067
42061,"Huntingdon County, Pennsylvania",37468
42063,"Indiana County, Pennsylvania",70320
42065,"Jefferson County, Pennsylvania",36034
42067,"Juniata County, Pennsylvania",19014
42069,"Lackawanna County, Pennsylvania",176714
42071,"Lancaster County, Pennsylvania",434544
42073,"Lawrence County, Pennsylvania",71211
42075,"Lebanon County, Pennsylvania",113363
42077,"Lehigh County, Pennsylvania",297520
42079,"Luzerne County, Pennsylvania",267491
42081,"Lycoming County, Pennsylvania",93454
42083,"McKean County, Pennsylvania",33524
42085,"Mercer County, Pennsylvania",92872
42087,"Mifflin County, Pennsylvania",36899
42089,"Monroe County, Pennsylvania",139425
42091,"Montgomery County, Pennsylvania",688113
42093,"Montour County, Pennsylvania",14960
42095,"Northampton County, Pennsylvania",257106
42097,"Northumberland County, Pennsylvania",75849
42099,"Perry County, Pennsylvania",37189
42101,"Philadelphia County, Pennsylvania",1283084
42103,"Pike County, Pennsylvania",49595
42105,"Potter County, Pennsylvania",13501
42107,"Schuylkill County, Pennsylvania",118215
42109,"Snyder County, Pennsylvania",32563
42111,"Somerset County, Pennsylvania",62347
42113,"Sullivan County, Pennsylvania",5419
42115,"Susquehanna County, Pennsylvania",32399
42117,"Tioga County, Pennsylvania",34029
42119,"Union County, Pennsylvania",36478
42121,"Venango County, Pennsylvania",42358
42123,"Warren County, Pennsylvania",32131
42125,"Washington County, Pennsylvania",172628
42127,"Wayne County, Pennsylvania",43736
42129,"Westmoreland County, Pennsylvania",297611
42131,"Wyoming County, Pennsylvania",21960
42133,"York County, Pennsylvania",366232
