State,Rate
AK,173.1
AL,182.1
AR,189.6
AZ,146.4
CA,146.6
CO,139.2
CT,147.8
DC,177.7
DE,167.1
FL,154.9
GA,168.1
HI,134.9
IA,168.2
ID,156.3
IL,171.7
IN,179.4
KS,162.9
KY,199.3
LA,188.7
MA,159.7
MD,163
ME,174.8
MI,170.2
MN,155.1
MO,179.1
MS,196.5
MT,154
NC,167.7
ND,150.8
NE,160.7
NH,158.6
NJ,156
NM,145.1
NV,164.9
NY,155.5
OH,177.4
OK,185.4
OR,163.2
PA,170
RI,173.9
SC,174
SD,154.1
TN,185.4
TX,156.9
UT,127.9
VA,162.3
VT,164.1
WA,156.3
WI,164.6
WV,190.5
WY,147.7
